case,category,concurrency,run_index,wall_s,completion_tokens,total_tokens,aggregate_completion_tok_per_s,aggregate_total_tok_per_s,contains_target_rate_pct
early_anchor_long_tail,anchor_recall,1,1,3.255,96,1327,29.4931,407.6805,100.0
early_anchor_long_tail,anchor_recall,1,2,3.3412,96,1327,28.7322,397.1627,100.0
early_anchor_long_tail,anchor_recall,1,3,3.3803,96,1327,28.3998,392.5687,100.0
early_anchor_long_tail,anchor_recall,2,1,5.3922,192,2654,35.607,492.1924,100.0
early_anchor_long_tail,anchor_recall,2,2,5.3943,192,2654,35.5931,492.0008,100.0
early_anchor_long_tail,anchor_recall,2,3,5.3985,192,2654,35.5654,491.618,100.0
early_anchor_long_tail,anchor_recall,4,1,5.5991,384,5308,68.5825,948.0095,100.0
early_anchor_long_tail,anchor_recall,4,2,5.514,384,5308,69.6409,962.6406,100.0
early_anchor_long_tail,anchor_recall,4,3,5.5528,384,5308,69.1543,955.9141,100.0
middle_anchor_detour,anchor_recall,1,1,4.4194,128,1082,28.9632,244.8296,100.0
middle_anchor_detour,anchor_recall,1,2,4.392,128,1082,29.1439,246.357,100.0
middle_anchor_detour,anchor_recall,1,3,4.4197,128,1082,28.9612,244.813,100.0
middle_anchor_detour,anchor_recall,2,1,7.04,256,2164,36.3636,307.3864,100.0
middle_anchor_detour,anchor_recall,2,2,7.0466,256,2164,36.3296,307.0985,100.0
middle_anchor_detour,anchor_recall,2,3,7.0699,256,2164,36.2098,306.0864,100.0
middle_anchor_detour,anchor_recall,4,1,7.3327,512,4328,69.8242,590.2328,100.0
middle_anchor_detour,anchor_recall,4,2,7.3325,512,4328,69.8261,590.2489,100.0
middle_anchor_detour,anchor_recall,4,3,7.227,512,4328,70.8454,598.8654,100.0
late_anchor_control,late_control,1,1,3.2649,96,719,29.4037,220.2211,100.0
late_anchor_control,late_control,1,2,3.2819,96,719,29.2513,219.0804,100.0
late_anchor_control,late_control,1,3,3.3608,96,719,28.5646,213.9372,100.0
late_anchor_control,late_control,2,1,5.5261,192,1438,34.7442,260.2197,100.0
late_anchor_control,late_control,2,2,5.2903,192,1438,36.2928,271.8182,100.0
late_anchor_control,late_control,2,3,5.2204,192,1438,36.7788,275.4578,100.0
late_anchor_control,late_control,4,1,5.3991,384,2876,71.123,532.6814,100.0
late_anchor_control,late_control,4,2,5.417,384,2876,70.8879,530.9212,100.0
late_anchor_control,late_control,4,3,5.4264,384,2876,70.7651,530.0015,100.0
decoy_collision,confusable_recall,1,1,4.2793,128,803,29.9114,187.6475,100.0
decoy_collision,confusable_recall,1,2,4.4407,128,803,28.8243,180.8273,100.0
decoy_collision,confusable_recall,1,3,4.3193,128,803,29.6344,185.9098,100.0
decoy_collision,confusable_recall,2,1,6.8653,256,1606,37.289,233.9301,100.0
decoy_collision,confusable_recall,2,2,6.9153,256,1606,37.0194,232.2387,100.0
