layer_start,layer_end,page_start,page_end,semantic_class,pin,k_precision_name,v_precision_name,residency_tier,promotion_priority,demotion_priority,recompute_priority,authority,case,budget_pct,kv_layout,range_ordinal,used_pages,prompt_pages,recent_start_page,plan_validation_ok,shadowed_layer_page_matches
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,early_anchor_long_tail,75.0,tmh_fidelity_paged_kv,0,166,154,41,True,0
0,47,41,165,recent_tail,0,raw,raw,hot,100,0,0,hard,early_anchor_long_tail,75.0,tmh_fidelity_paged_kv,1,166,154,41,True,0
0,31,1,40,prefill_payload,0,int8,int4,warm,25,75,50,hard,early_anchor_long_tail,75.0,tmh_fidelity_paged_kv,2,166,154,41,True,0
32,47,1,40,late_layer_payload,0,int8,int8,warm,35,65,50,hard,early_anchor_long_tail,75.0,tmh_fidelity_paged_kv,3,166,154,41,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,middle_anchor_detour,75.0,tmh_fidelity_paged_kv,0,136,120,34,True,0
0,47,34,135,recent_tail,0,raw,raw,hot,100,0,0,hard,middle_anchor_detour,75.0,tmh_fidelity_paged_kv,1,136,120,34,True,0
0,31,1,33,prefill_payload,0,int8,int4,warm,25,75,50,hard,middle_anchor_detour,75.0,tmh_fidelity_paged_kv,2,136,120,34,True,0
32,47,1,33,late_layer_payload,0,int8,int8,warm,35,65,50,hard,middle_anchor_detour,75.0,tmh_fidelity_paged_kv,3,136,120,34,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,late_anchor_control,75.0,tmh_fidelity_paged_kv,0,90,78,22,True,0
0,47,22,89,recent_tail,0,raw,raw,hot,100,0,0,hard,late_anchor_control,75.0,tmh_fidelity_paged_kv,1,90,78,22,True,0
0,31,1,21,prefill_payload,0,int8,int4,warm,25,75,50,hard,late_anchor_control,75.0,tmh_fidelity_paged_kv,2,90,78,22,True,0
32,47,1,21,late_layer_payload,0,int8,int8,warm,35,65,50,hard,late_anchor_control,75.0,tmh_fidelity_paged_kv,3,90,78,22,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,decoy_collision,75.0,tmh_fidelity_paged_kv,0,101,85,25,True,0
0,47,25,100,recent_tail,0,raw,raw,hot,100,0,0,hard,decoy_collision,75.0,tmh_fidelity_paged_kv,1,101,85,25,True,0
0,31,1,24,prefill_payload,0,int8,int4,warm,25,75,50,hard,decoy_collision,75.0,tmh_fidelity_paged_kv,2,101,85,25,True,0
32,47,1,24,late_layer_payload,0,int8,int8,warm,35,65,50,hard,decoy_collision,75.0,tmh_fidelity_paged_kv,3,101,85,25,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,routing_table,75.0,tmh_fidelity_paged_kv,0,99,83,24,True,0
0,47,24,98,recent_tail,0,raw,raw,hot,100,0,0,hard,routing_table,75.0,tmh_fidelity_paged_kv,1,99,83,24,True,0
0,31,1,23,prefill_payload,0,int8,int4,warm,25,75,50,hard,routing_table,75.0,tmh_fidelity_paged_kv,2,99,83,24,True,0
