case,category,budget_pct,prompt_tokens,measured_completion_tokens,total_tokens,page_tokens,total_pages,hot_pages,pinned_pages,warm_pages,cold_pages,raw_k_pages,raw_v_pages,int8_k_pages,int8_v_pages,int4_v_pages,raw_equivalent_bytes,hot_bytes,warm_bytes,cold_bytes,effective_bytes,effective_bytes_per_token,compression_vs_raw_pct,endpoint_completion_tok_s_c1,endpoint_completion_tok_s_c2,endpoint_ttft_s,contains_target_c1_pct,contains_target_c2_pct,plan_range_count,resolved_layer_pages,shadowed_layer_page_matches,plan_validation_ok,warm_reduction_vs_uniform_int8_pct,total_reduction_vs_same_hot_uniform_int8_pct
early_anchor_long_tail,anchor_recall,75.0,1231,96,1327,8,166,125,1,40,0,6048,6048,1920,640,1280,130449408,98992128,13107200,0,112099328,84475.756,14.067,29.3345,35.6871,0.1778,100.0,100.0,4,7968,0,True,16.667,2.285
middle_anchor_detour,anchor_recall,75.0,954,128,1082,8,136,102,1,33,0,4944,4944,1584,528,1056,106364928,80412672,10813440,0,91226112,84312.488,14.233,29.4023,35.949,0.1539,100.0,100.0,4,6528,0,True,16.667,2.316
late_anchor_control,late_control,75.0,623,96,719,8,90,68,1,21,0,3312,3312,1008,336,672,70680576,54165504,6881280,0,61046784,84905.124,13.63,30.2448,36.8657,0.1472,100.0,100.0,4,4320,0,True,16.667,2.205
decoy_collision,confusable_recall,75.0,675,128,803,8,101,76,1,24,0,3696,3696,1152,384,768,78938112,60063744,7864320,0,67928064,84592.857,13.948,30.1318,36.936,0.0969,100.0,100.0,4,4848,0,True,16.667,2.263
routing_table,structured_lookup,75.0,660,128,788,8,99,75,1,23,0,3648,3648,1104,368,736,77463552,59375616,7536640,0,66912256,84914.03,13.621,30.1439,36.5803,0.1063,0.0,0.0,4,4752,0,True,16.667,2.203
structured_records,structured_lookup,75.0,671,160,831,8,104,78,1,25,0,3792,3792,1200,400,800,81690624,62029824,8192000,0,70221824,84502.797,14.039,29.694,45.3907,0.1469,0.0,0.0,4,4992,0,True,16.667,2.28
instruction_persistence,instruction_retention,75.0,1241,128,1369,8,172,129,1,42,0,6240,6240,2016,672,1344,134578176,101548032,13762560,0,115310592,84229.797,14.317,29.5305,36.5824,0.1432,100.0,100.0,4,8256,0,True,16.667,2.331
multi_hop_bridge,multi_hop,75.0,635,160,795,8,100,75,1,24,0,3648,3648,1152,384,768,78151680,59277312,7864320,0,67141632,84454.883,14.088,29.5628,36.2052,0.1396,100.0,100.0,4,4800,0,True,16.667,2.289
payload_dense,dense_noise,75.0,1227,192,1419,8,178,134,1,43,0,6480,6480,2064,688,1376,139493376,105676800,14090240,0,119767040,84402.424,14.141,29.3058,36.7109,0.1506,100.0,100.0,4,8544,0,True,16.667,2.299
long_generation_systems,long_generation,75.0,360,384,744,8,93,70,1,22,0,3408,3408,1056,352,704,73138176,55836672,7208960,0,63045632,84738.753,13.799,29.6228,35.4191,0.1244,0.0,0.0,4,4464,0,True,16.667,2.236
early_anchor_long_tail,anchor_recall,50.0,1231,96,1327,8,166,83,1,82,0,4032,4032,3936,1312,2624,130449408,65961984,26869760,0,92831744,69956.099,28.837,29.3345,35.6871,0.1778,100.0,100.0,4,7968,0,True,16.667,5.472
middle_anchor_detour,anchor_recall,50.0,954,128,1082,8,136,68,1,67,0,3312,3312,3216,1072,2144,106364928,53673984,21954560,0,75628544,69896.991,28.897,29.4023,35.949,0.1539,100.0,100.0,4,6528,0,True,16.667,5.487
late_anchor_control,late_control,50.0,623,96,719,8,90,45,1,44,0,2208,2208,2112,704,1408,70680576,36077568,14417920,0,50495488,70230.164,28.558,30.2448,36.8657,0.1472,100.0,100.0,4,4320,0,True,16.667,5.402
