case,category,budget_pct,prompt_tokens,measured_completion_tokens,total_tokens,page_tokens,total_pages,hot_pages,pinned_pages,warm_pages,cold_pages,raw_k_pages,raw_v_pages,int8_k_pages,int8_v_pages,int4_v_pages,raw_equivalent_bytes,hot_bytes,warm_bytes,cold_bytes,effective_bytes,effective_bytes_per_token,compression_vs_raw_pct,endpoint_completion_tok_s_c1,endpoint_completion_tok_s_c2,endpoint_ttft_s,contains_target_c1_pct,contains_target_c2_pct,plan_range_count,resolved_layer_pages,shadowed_layer_page_matches,plan_validation_ok,warm_reduction_vs_uniform_int8_pct,total_reduction_vs_same_hot_uniform_int8_pct
early_anchor_long_tail,anchor_recall,75.0,1885,96,1981,8,248,186,1,61,0,8976,8976,2928,976,1952,194740224,146767872,19988480,0,166756352,84177.866,14.37,0.0,0.0,0.0,0.0,0.0,4,11904,0,True,16.667,2.341
middle_anchor_detour,anchor_recall,75.0,1462,128,1590,8,199,150,1,48,0,7248,7248,2304,768,1536,156303360,118554624,15728640,0,134283264,84454.883,14.088,0.0,0.0,0.0,0.0,0.0,4,9552,0,True,16.667,2.289
late_anchor_control,late_control,75.0,950,96,1046,8,131,99,1,31,0,4800,4800,1488,496,992,102825984,78446592,10158080,0,88604672,84708.099,13.83,0.0,0.0,0.0,0.0,0.0,4,6288,0,True,16.667,2.242
decoy_collision,confusable_recall,75.0,1014,128,1142,8,143,108,1,34,0,5232,5232,1632,544,1088,112263168,85524480,11141120,0,96665600,84645.884,13.894,0.0,0.0,0.0,0.0,0.0,4,6864,0,True,16.667,2.253
routing_table,structured_lookup,75.0,988,128,1116,8,140,105,1,34,0,5088,5088,1632,544,1088,109707264,82968576,11141120,0,94109696,84327.685,14.217,0.0,0.0,0.0,0.0,0.0,4,6720,0,True,16.667,2.313
structured_records,structured_lookup,75.0,999,160,1159,8,145,109,1,35,0,5280,5280,1680,560,1120,113934336,86409216,11468800,0,97878016,84450.402,14.093,0.0,0.0,0.0,0.0,0.0,4,6960,0,True,16.667,2.29
instruction_persistence,instruction_retention,75.0,1896,128,2024,8,253,190,1,62,0,9168,9168,2976,992,1984,198967296,150208512,20316160,0,170524672,84251.32,14.295,0.0,0.0,0.0,0.0,0.0,4,12144,0,True,16.667,2.327
multi_hop_bridge,multi_hop,75.0,963,160,1123,8,141,106,1,34,0,5136,5136,1632,544,1088,110395392,83656704,11141120,0,94797824,84414.803,14.129,0.0,0.0,0.0,0.0,0.0,4,6768,0,True,16.667,2.297
payload_dense,dense_noise,75.0,1881,163,2044,8,256,192,1,63,0,9264,9264,3024,1008,2016,200933376,151388160,20643840,0,172032000,84164.384,14.384,0.0,0.0,0.0,0.0,0.0,4,12288,0,True,16.667,2.344
long_generation_systems,long_generation,75.0,523,384,907,8,114,86,1,27,0,4176,4176,1296,432,864,89161728,67928064,8847360,0,76775424,84647.656,13.892,0.0,0.0,0.0,0.0,0.0,4,5472,0,True,16.667,2.253
early_anchor_long_tail,anchor_recall,50.0,1885,96,1981,8,248,124,1,123,0,6000,6000,5904,1968,3936,194740224,98009088,40304640,0,138313728,69820.155,28.975,0.0,0.0,0.0,0.0,0.0,4,11904,0,True,16.667,5.507
middle_anchor_detour,anchor_recall,50.0,1462,128,1590,8,199,100,1,98,0,4848,4848,4704,1568,3136,156303360,79233024,32112640,0,111345664,70028.719,28.763,0.0,0.0,0.0,0.0,0.0,4,9552,0,True,16.667,5.454
late_anchor_control,late_control,50.0,950,96,1046,8,131,66,1,64,0,3216,3216,3072,1024,2048,102825984,52494336,20971520,0,73465856,70235.044,28.553,0.0,0.0,0.0,0.0,0.0,4,6288,0,True,16.667,5.401
decoy_collision,confusable_recall,50.0,1014,128,1142,8,143,72,1,70,0,3504,3504,3360,1120,2240,112263168,57212928,22937600,0,80150528,70184.35,28.605,0.0,0.0,0.0,0.0,0.0,4,6864,0,True,16.667,5.414
routing_table,structured_lookup,50.0,988,128,1116,8,140,70,1,69,0,3408,3408,3312,1104,2208,109707264,55443456,22609920,0,78053376,69940.301,28.853,0.0,0.0,0.0,0.0,0.0,4,6720,0,True,16.667,5.476
