budget_pct,case_count,mean_effective_bytes_per_token,mean_compression_vs_raw_pct,mean_hot_bytes,mean_warm_bytes,mean_endpoint_completion_tok_s_c1,mean_endpoint_completion_tok_s_c2,mean_ttft_s,mean_contains_target_c1_pct,mean_contains_target_c2_pct,plan_validation_pass_rate_pct,mean_shadowed_layer_page_matches,page_tokens,mean_warm_reduction_vs_uniform_int8_pct,mean_total_reduction_vs_same_hot_uniform_int8_pct,checked_layer_pages,cases_with_failures,cold_bytes_total
75.0,10,84424.298,14.119,105185280.0,14057472.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,8,16.667,2.295,594720,0,0
50.0,10,70027.87,28.764,70346342.4,28573696.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,8,16.667,5.454,594720,0,0
25.0,10,55682.021,43.357,35586048.0,43057152.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,8,16.667,9.857,594720,0,0
12.5,10,48519.821,50.643,18205900.8,50298880.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,8,16.667,12.784,594720,0,0
6.25,10,44944.172,54.28,9555148.8,53903360.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,8,16.667,14.502,594720,0,0
3.125,10,43160.753,56.095,5229772.8,55705600.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,8,16.667,15.435,594720,0,0
0.0,10,41313.266,57.974,786432.0,57556992.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,8,16.667,16.463,594720,0,0
75.0,10,84813.164,13.724,106050355.2,13697024.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,16,16.667,2.222,298368,0,0
50.0,10,70318.834,28.468,70975488.0,28311552.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,16,16.667,5.38,298368,0,0
25.0,10,55994.434,43.039,36215193.6,42795008.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,16,16.667,9.744,298368,0,0
12.5,10,48843.137,50.314,18913689.6,50003968.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,16,16.667,12.639,298368,0,0
6.25,10,45276.298,53.942,10262937.6,53608448.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,16,16.667,14.334,298368,0,0
3.125,10,43532.46,55.716,6016204.8,55377920.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,16,16.667,15.237,298368,0,0
0.0,10,41666.533,57.614,1572864.0,57229312.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,16,16.667,16.261,298368,0,0
75.0,10,85578.898,12.945,107780505.6,12976128.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,32,16.667,2.081,149856,0,0
50.0,10,71068.264,27.706,72548352.0,27656192.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,32,16.667,5.192,149856,0,0
25.0,10,56765.669,42.255,37945344.0,42074112.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,32,16.667,9.467,149856,0,0
12.5,10,49631.992,49.512,20643840.0,49283072.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,32,16.667,12.292,149856,0,0
6.25,10,46144.317,53.06,12150374.4,52822016.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,32,16.667,13.908,149856,0,0
3.125,10,44342.774,54.892,7746355.2,54657024.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,32,16.667,14.817,149856,0,0
0.0,10,42373.065,56.896,3145728.0,56573952.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,32,16.667,15.866,149856,0,0
75.0,10,87769.322,10.716,112499097.6,11010048.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,64,16.667,1.689,75600,0,0
50.0,10,72524.941,26.224,76008652.8,26214400.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,64,16.667,4.835,75600,0,0
25.0,10,58257.586,40.737,41405644.8,40632320.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,64,16.667,8.947,75600,0,0
12.5,10,51282.236,47.833,24418713.6,47710208.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,64,16.667,11.594,75600,0,0
6.25,10,47679.151,51.498,15610675.2,51380224.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,64,16.667,13.188,75600,0,0
3.125,10,45257.654,53.962,9948364.8,53739520.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,64,16.667,14.349,75600,0,0
0.0,10,43786.13,55.458,6291456.0,55263232.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,64,16.667,15.106,75600,0,0
