budget_pct,case_count,mean_effective_bytes_per_token,mean_compression_vs_raw_pct,mean_hot_bytes,mean_warm_bytes,mean_endpoint_completion_tok_s_c1,mean_endpoint_completion_tok_s_c2,mean_ttft_s,mean_contains_target_c1_pct,mean_contains_target_c2_pct,plan_validation_pass_rate_pct,mean_shadowed_layer_page_matches,page_tokens,mean_warm_reduction_vs_uniform_int8_pct,mean_total_reduction_vs_same_hot_uniform_int8_pct,checked_layer_pages,cases_with_failures,cold_bytes_total
75.0,10,84552.891,13.988,73737830.4,9732096.0,29.354,36.265,0.141,70.0,70.0,100.0,0.0,8,16.667,2.271,416304,0,0
50.0,10,70116.331,28.674,49279795.2,19922944.0,29.354,36.265,0.141,70.0,70.0,100.0,0.0,8,16.667,5.431,416304,0,0
25.0,10,55810.476,43.227,25057689.6,30015488.0,29.354,36.265,0.141,70.0,70.0,100.0,0.0,8,16.667,9.81,416304,0,0
12.5,10,48655.583,50.505,12946636.8,35061760.0,29.354,36.265,0.141,70.0,70.0,100.0,0.0,8,16.667,12.723,416304,0,0
6.25,10,45124.132,54.097,6969753.6,37552128.0,29.354,36.265,0.141,70.0,70.0,100.0,0.0,8,16.667,14.41,416304,0,0
3.125,10,43358.997,55.893,3981312.0,38797312.0,29.354,36.265,0.141,70.0,70.0,100.0,0.0,8,16.667,15.328,416304,0,0
0.0,10,41456.529,57.828,786432.0,40128512.0,29.354,36.265,0.141,70.0,70.0,100.0,0.0,8,16.667,16.381,416304,0,0
75.0,10,85293.995,13.235,74917478.4,9240576.0,29.354,36.265,0.141,70.0,70.0,100.0,0.0,16,16.667,2.133,208656,0,0
50.0,10,70685.347,28.095,50223513.6,19529728.0,29.354,36.265,0.141,70.0,70.0,100.0,0.0,16,16.667,5.287,208656,0,0
25.0,10,56375.563,42.652,26001408.0,29622272.0,29.354,36.265,0.141,70.0,70.0,100.0,0.0,16,16.667,9.605,208656,0,0
12.5,10,49312.66,49.836,14047641.6,34603008.0,29.354,36.265,0.141,70.0,70.0,100.0,0.0,16,16.667,12.43,208656,0,0
6.25,10,45782.39,53.428,8070758.4,37093376.0,29.354,36.265,0.141,70.0,70.0,100.0,0.0,16,16.667,14.082,208656,0,0
3.125,10,43846.382,55.397,4767744.0,38469632.0,29.354,36.265,0.141,70.0,70.0,100.0,0.0,16,16.667,15.071,208656,0,0
0.0,10,41953.058,57.323,1572864.0,39800832.0,29.354,36.265,0.141,70.0,70.0,100.0,0.0,16,16.667,16.1,208656,0,0
75.0,10,86553.568,11.953,76962201.6,8388608.0,29.354,36.265,0.141,70.0,70.0,100.0,0.0,32,16.667,1.903,105168,0,0
50.0,10,71670.548,27.093,51796377.6,18874368.0,29.354,36.265,0.141,70.0,70.0,100.0,0.0,32,16.667,5.043,105168,0,0
25.0,10,57544.743,41.462,27888844.8,28835840.0,29.354,36.265,0.141,70.0,70.0,100.0,0.0,32,16.667,9.192,105168,0,0
12.5,10,50484.202,48.645,15935078.4,33816576.0,29.354,36.265,0.141,70.0,70.0,100.0,0.0,32,16.667,11.926,105168,0,0
6.25,10,46612.186,52.584,9329049.6,36569088.0,29.354,36.265,0.141,70.0,70.0,100.0,0.0,32,16.667,13.681,105168,0,0
3.125,10,44626.069,54.604,6183321.6,37879808.0,29.354,36.265,0.141,70.0,70.0,100.0,0.0,32,16.667,14.667,105168,0,0
0.0,10,42946.117,56.313,3145728.0,39145472.0,29.354,36.265,0.141,70.0,70.0,100.0,0.0,32,16.667,15.553,105168,0,0
75.0,10,88413.786,10.061,80107929.6,7077888.0,29.354,36.265,0.141,70.0,70.0,100.0,0.0,64,16.667,1.574,53424,0,0
50.0,10,74024.624,24.698,55571251.2,17301504.0,29.354,36.265,0.141,70.0,70.0,100.0,0.0,64,16.667,4.481,53424,0,0
25.0,10,59903.541,39.063,31663718.4,27262976.0,29.354,36.265,0.141,70.0,70.0,100.0,0.0,64,16.667,8.405,53424,0,0
12.5,10,52159.509,46.941,18451660.8,32768000.0,29.354,36.265,0.141,70.0,70.0,100.0,0.0,64,16.667,11.236,53424,0,0
6.25,10,48187.275,50.981,12160204.8,35389440.0,29.354,36.265,0.141,70.0,70.0,100.0,0.0,64,16.667,12.947,53424,0,0
3.125,10,47044.808,52.143,9643622.4,36438016.0,29.354,36.265,0.141,70.0,70.0,100.0,0.0,64,16.667,13.491,53424,0,0
0.0,10,44932.234,54.292,6291456.0,37834752.0,29.354,36.265,0.141,70.0,70.0,100.0,0.0,64,16.667,14.515,53424,0,0
