shape,model_type,layer_count,kv_heads,head_dim,late_layer_start,case,category,prompt_tokens,completion_tokens,total_tokens,page_tokens,budget_pct,total_pages,prompt_pages,requested_hot_pages,resolved_recent_start_page,old_pages,old_tokens,hot_bytes,warm_bytes,raw_equivalent_bytes,effective_bytes,uniform_old_int8_bytes,compression_vs_raw_pct,warm_reduction_vs_uniform_int8_pct,total_reduction_vs_same_hot_uniform_int8_pct,plan_range_count,validation_mode,checked_layer_pages,shadowed_layer_page_matches,plan_validation_ok,invariant_ok,invariant_failures
qwen3_30b_a3b_gqa,qwen3_moe_gptq,48,4,128,32,single_token,degenerate_min,1,0,1,1,100.0,1,1,1,0,0,0,98304,0,98304,98304,0,0.0,0.0,0.0,2,exhaustive,48,48,True,True,
qwen3_30b_a3b_gqa,qwen3_moe_gptq,48,4,128,32,anchor_only_decode_zero,degenerate_min,2,0,2,1,100.0,2,2,2,0,0,0,196608,0,196608,196608,0,0.0,0.0,0.0,2,exhaustive,96,48,True,True,
qwen3_30b_a3b_gqa,qwen3_moe_gptq,48,4,128,32,first_page_decode,page_boundary,7,1,8,1,100.0,8,7,8,0,0,0,786432,0,786432,786432,0,0.0,0.0,0.0,2,exhaustive,384,48,True,True,
qwen3_30b_a3b_gqa,qwen3_moe_gptq,48,4,128,32,exact_small_boundary,page_boundary,8,0,8,1,100.0,8,8,8,0,0,0,786432,0,786432,786432,0,0.0,0.0,0.0,2,exhaustive,384,48,True,True,
qwen3_30b_a3b_gqa,qwen3_moe_gptq,48,4,128,32,cross_small_boundary,page_boundary,8,1,9,1,100.0,9,8,9,0,0,0,884736,0,884736,884736,0,0.0,0.0,0.0,2,exhaustive,432,48,True,True,
qwen3_30b_a3b_gqa,qwen3_moe_gptq,48,4,128,32,exact_sixteen,page_boundary,16,0,16,1,100.0,16,16,16,0,0,0,1572864,0,1572864,1572864,0,0.0,0.0,0.0,2,exhaustive,768,48,True,True,
qwen3_30b_a3b_gqa,qwen3_moe_gptq,48,4,128,32,cross_sixteen,page_boundary,16,1,17,1,100.0,17,16,17,0,0,0,1671168,0,1671168,1671168,0,0.0,0.0,0.0,2,exhaustive,816,48,True,True,
qwen3_30b_a3b_gqa,qwen3_moe_gptq,48,4,128,32,decode_heavy_short_prompt,decode_heavy,32,224,256,1,100.0,256,32,256,0,0,0,25165824,0,25165824,25165824,0,0.0,0.0,0.0,2,exhaustive,12288,48,True,True,
qwen3_30b_a3b_gqa,qwen3_moe_gptq,48,4,128,32,prompt_heavy_short_decode,prompt_heavy,255,1,256,1,100.0,256,255,256,0,0,0,25165824,0,25165824,25165824,0,0.0,0.0,0.0,2,exhaustive,12288,48,True,True,
qwen3_30b_a3b_gqa,qwen3_moe_gptq,48,4,128,32,exact_512_prompt,page_boundary,512,0,512,1,100.0,512,512,512,0,0,0,50331648,0,50331648,50331648,0,0.0,0.0,0.0,2,exhaustive,24576,48,True,True,
qwen3_30b_a3b_gqa,qwen3_moe_gptq,48,4,128,32,cross_512_prompt,page_boundary,512,1,513,1,100.0,513,512,513,0,0,0,50429952,0,50429952,50429952,0,0.0,0.0,0.0,2,exhaustive,24624,48,True,True,
qwen3_30b_a3b_gqa,qwen3_moe_gptq,48,4,128,32,long_anchor_tail,anchor_recall_geometry,1231,96,1327,1,100.0,1327,1231,1327,0,0,0,130449408,0,130449408,130449408,0,0.0,0.0,0.0,2,exhaustive,63696,48,True,True,
qwen3_30b_a3b_gqa,qwen3_moe_gptq,48,4,128,32,routing_table_geometry,structured_lookup_geometry,660,128,788,1,100.0,788,660,788,0,0,0,77463552,0,77463552,77463552,0,0.0,0.0,0.0,2,exhaustive,37824,48,True,True,
qwen3_30b_a3b_gqa,qwen3_moe_gptq,48,4,128,32,dense_payload_geometry,dense_noise_geometry,1227,192,1419,1,100.0,1419,1227,1419,0,0,0,139493376,0,139493376,139493376,0,0.0,0.0,0.0,2,exhaustive,68112,48,True,True,
qwen3_30b_a3b_gqa,qwen3_moe_gptq,48,4,128,32,long_generation_geometry,long_generation_geometry,360,384,744,1,100.0,744,360,744,0,0,0,73138176,0,73138176,73138176,0,0.0,0.0,0.0,2,exhaustive,35712,48,True,True,
qwen3_30b_a3b_gqa,qwen3_moe_gptq,48,4,128,32,near_2k_context,context_pressure,1792,256,2048,1,100.0,2048,1792,2048,0,0,0,201326592,0,201326592,201326592,0,0.0,0.0,0.0,2,exhaustive,98304,48,True,True,
qwen3_30b_a3b_gqa,qwen3_moe_gptq,48,4,128,32,over_2k_context,context_pressure,2048,512,2560,1,100.0,2560,2048,2560,0,0,0,251658240,0,251658240,251658240,0,0.0,0.0,0.0,2,exhaustive,122880,48,True,True,
qwen3_30b_a3b_gqa,qwen3_moe_gptq,48,4,128,32,near_4k_context,context_pressure,3968,128,4096,1,100.0,4096,3968,4096,0,0,0,402653184,0,402653184,402653184,0,0.0,0.0,0.0,2,exhaustive,196608,48,True,True,
