case,category,budget_pct,prompt_tokens,measured_completion_tokens,total_tokens,page_tokens,total_pages,hot_pages,pinned_pages,warm_pages,cold_pages,raw_k_pages,raw_v_pages,int8_k_pages,int8_v_pages,int4_v_pages,raw_equivalent_bytes,hot_bytes,warm_bytes,cold_bytes,effective_bytes,effective_bytes_per_token,compression_vs_raw_pct,endpoint_completion_tok_s_c1,endpoint_completion_tok_s_c2,endpoint_ttft_s,contains_target_c1_pct,contains_target_c2_pct,plan_range_count,resolved_layer_pages,shadowed_layer_page_matches,plan_validation_ok
early_anchor_long_tail,anchor_recall,50.0,1231,96,1327,16,83,42,1,40,0,2064,2064,1920,640,1280,130449408,67534848,26214400,0,93749248,70647.512,28.134,29.3345,35.6871,0.1778,100.0,100.0,4,3984,0,True
middle_anchor_detour,anchor_recall,50.0,954,128,1082,16,68,34,1,33,0,1680,1680,1584,528,1056,106364928,54460416,21626880,0,76087296,70320.976,28.466,29.4023,35.949,0.1539,100.0,100.0,4,3264,0,True
late_anchor_control,late_control,50.0,623,96,719,16,45,23,1,21,0,1152,1152,1008,336,672,70680576,37650432,13762560,0,51412992,71506.248,27.26,30.2448,36.8657,0.1472,100.0,100.0,4,2160,0,True
decoy_collision,confusable_recall,50.0,675,128,803,16,51,26,1,24,0,1296,1296,1152,384,768,78938112,41189376,15728640,0,56918016,70881.714,27.895,30.1318,36.936,0.0969,100.0,100.0,4,2448,0,True
routing_table,structured_lookup,50.0,660,128,788,16,50,25,1,24,0,1248,1248,1152,384,768,77463552,39714816,15728640,0,55443456,70359.716,28.426,30.1439,36.5803,0.1063,0.0,0.0,4,2400,0,True
structured_records,structured_lookup,50.0,671,160,831,16,52,26,1,25,0,1296,1296,1200,400,800,81690624,42369024,16384000,0,58753024,70701.593,28.079,29.694,45.3907,0.1469,0.0,0.0,4,2496,0,True
instruction_persistence,instruction_retention,50.0,1241,128,1369,16,86,43,1,42,0,2112,2112,2016,672,1344,134578176,68517888,27525120,0,96043008,70155.594,28.634,29.5305,36.5824,0.1432,100.0,100.0,4,4128,0,True
multi_hop_bridge,multi_hop,50.0,635,160,795,16,50,25,1,24,0,1248,1248,1152,384,768,78151680,40402944,15728640,0,56131584,70605.766,28.176,29.5628,36.2052,0.1396,100.0,100.0,4,2400,0,True
payload_dense,dense_noise,50.0,1227,192,1419,16,89,45,1,43,0,2208,2208,2064,688,1376,139493376,71860224,28180480,0,100040704,70500.848,28.283,29.3058,36.7109,0.1506,100.0,100.0,4,4272,0,True
long_generation_systems,long_generation,50.0,360,384,744,16,47,24,1,22,0,1200,1200,1056,352,704,73138176,38535168,14417920,0,52953088,71173.505,27.599,29.6228,35.4191,0.1244,0.0,0.0,4,2256,0,True
early_anchor_long_tail,anchor_recall,25.0,1231,96,1327,16,83,21,1,61,0,1056,1056,2928,976,1952,130449408,34504704,39976960,0,74481664,56127.855,42.904,29.3345,35.6871,0.1778,100.0,100.0,4,3984,0,True
middle_anchor_detour,anchor_recall,25.0,954,128,1082,16,68,17,1,50,0,864,864,2400,800,1600,106364928,27721728,32768000,0,60489728,55905.479,43.13,29.4023,35.949,0.1539,100.0,100.0,4,3264,0,True
late_anchor_control,late_control,25.0,623,96,719,16,45,12,1,32,0,624,624,1536,512,1024,70680576,20348928,20971520,0,41320448,57469.33,41.539,30.2448,36.8657,0.1472,100.0,100.0,4,2160,0,True
decoy_collision,confusable_recall,25.0,675,128,803,16,51,13,1,37,0,672,672,1776,592,1184,78938112,20742144,24248320,0,44990464,56027.975,43.005,30.1318,36.936,0.0969,100.0,100.0,4,2448,0,True
routing_table,structured_lookup,25.0,660,128,788,16,50,13,1,36,0,672,672,1728,576,1152,77463552,20840448,23592960,0,44433408,56387.574,42.64,30.1439,36.5803,0.1063,0.0,0.0,4,2400,0,True
structured_records,structured_lookup,25.0,671,160,831,16,52,13,1,38,0,672,672,1824,608,1216,81690624,21921792,24903680,0,46825472,56348.342,42.68,29.694,45.3907,0.1469,0.0,0.0,4,2496,0,True
instruction_persistence,instruction_retention,25.0,1241,128,1369,16,86,22,1,63,0,1104,1104,3024,1008,2016,134578176,35487744,41287680,0,76775424,56081.391,42.951,29.5305,36.5824,0.1432,100.0,100.0,4,4128,0,True
multi_hop_bridge,multi_hop,25.0,635,160,795,16,50,13,1,36,0,672,672,1728,576,1152,78151680,21528576,23592960,0,45121536,56756.649,42.264,29.5628,36.2052,0.1396,100.0,100.0,4,2400,0,True
payload_dense,dense_noise,25.0,1227,192,1419,16,89,23,1,65,0,1152,1152,3120,1040,2080,139493376,37257216,42598400,0,79855616,56275.98,42.753,29.3058,36.7109,0.1506,100.0,100.0,4,4272,0,True
long_generation_systems,long_generation,25.0,360,384,744,16,47,12,1,34,0,624,624,1632,544,1088,73138176,19660800,22282240,0,41943040,56375.054,42.652,29.6228,35.4191,0.1244,0.0,0.0,4,2256,0,True
early_anchor_long_tail,anchor_recall,12.5,1231,96,1327,16,83,11,1,71,0,576,576,3408,1136,2272,130449408,18776064,46530560,0,65306624,49213.733,49.937,29.3345,35.6871,0.1778,100.0,100.0,4,3984,0,True
middle_anchor_detour,anchor_recall,12.5,954,128,1082,16,68,9,1,58,0,480,480,2784,928,1856,106364928,15138816,38010880,0,53149696,49121.715,50.031,29.4023,35.949,0.1539,100.0,100.0,4,3264,0,True
late_anchor_control,late_control,12.5,623,96,719,16,45,6,1,38,0,336,336,1824,608,1216,70680576,10911744,24903680,0,35815424,49812.829,49.328,30.2448,36.8657,0.1472,100.0,100.0,4,2160,0,True
decoy_collision,confusable_recall,12.5,675,128,803,16,51,7,1,43,0,384,384,2064,688,1376,78938112,11304960,28180480,0,39485440,49172.403,49.979,30.1318,36.936,0.0969,100.0,100.0,4,2448,0,True
routing_table,structured_lookup,12.5,660,128,788,16,50,7,1,42,0,384,384,2016,672,1344,77463552,11403264,27525120,0,38928384,49401.503,49.746,30.1439,36.5803,0.1063,0.0,0.0,4,2400,0,True
structured_records,structured_lookup,12.5,671,160,831,16,52,7,1,44,0,384,384,2112,704,1408,81690624,12484608,28835840,0,41320448,49723.764,49.418,29.694,45.3907,0.1469,0.0,0.0,4,2496,0,True
