run_index,model_id,case,page_tokens,budget_pct,old_tokens,warm_reduction_vs_uniform_int8_pct,total_reduction_vs_same_hot_uniform_int8_pct,compression_vs_raw_pct
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_early_anchor_long_tail,8,75.0,2216,16.406,2.329,14.472
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_early_anchor_long_tail,8,50.0,4448,16.406,5.456,29.049
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_early_anchor_long_tail,8,25.0,6672,16.406,9.816,43.574
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_early_anchor_long_tail,8,12.5,7784,16.406,12.72,50.836
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_early_anchor_long_tail,8,6.25,8344,16.406,14.44,54.494
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_early_anchor_long_tail,8,3.125,8624,16.406,15.379,56.322
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_early_anchor_long_tail,8,1.0,8808,16.406,16.028,57.524
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_early_anchor_long_tail,8,0.0,8904,16.406,16.377,58.151
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_early_anchor_long_tail,16,75.0,2208,16.406,2.32,14.42
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_early_anchor_long_tail,16,50.0,4432,16.406,5.43,28.945
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_early_anchor_long_tail,16,25.0,6656,16.406,9.778,43.469
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_early_anchor_long_tail,16,12.5,7776,16.406,12.697,50.784
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_early_anchor_long_tail,16,6.25,8336,16.406,14.414,54.441
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_early_anchor_long_tail,16,3.125,8608,16.406,15.324,56.218
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_early_anchor_long_tail,16,1.0,8800,16.406,15.999,57.472
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_early_anchor_long_tail,16,0.0,8896,16.406,16.347,58.099
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_early_anchor_long_tail,32,75.0,2176,16.406,2.281,14.211
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_early_anchor_long_tail,32,50.0,4416,16.406,5.403,28.84
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_early_anchor_long_tail,32,25.0,6656,16.406,9.778,43.469
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_early_anchor_long_tail,32,12.5,7776,16.406,12.697,50.784
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_early_anchor_long_tail,32,6.25,8320,16.406,14.362,54.337
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_early_anchor_long_tail,32,3.125,8608,16.406,15.324,56.218
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_early_anchor_long_tail,32,1.0,8800,16.406,15.999,57.472
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_early_anchor_long_tail,32,0.0,8880,16.406,16.289,57.994
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_early_anchor_long_tail,64,75.0,2176,16.406,2.281,14.211
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_early_anchor_long_tail,64,50.0,4416,16.406,5.403,28.84
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_early_anchor_long_tail,64,25.0,6656,16.406,9.778,43.469
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_early_anchor_long_tail,64,12.5,7744,16.406,12.604,50.575
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_early_anchor_long_tail,64,6.25,8320,16.406,14.362,54.337
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_early_anchor_long_tail,64,3.125,8576,16.406,15.214,56.009
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_early_anchor_long_tail,64,1.0,8768,16.406,15.884,57.263
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_early_anchor_long_tail,64,0.0,8848,16.406,16.172,57.785
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_early_anchor_long_tail,128,75.0,2048,16.406,2.13,13.375
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_early_anchor_long_tail,128,50.0,4352,16.406,5.3,28.422
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_early_anchor_long_tail,128,25.0,6528,16.406,9.481,42.634
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_early_anchor_long_tail,128,12.5,7680,16.406,12.421,50.157
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_early_anchor_long_tail,128,6.25,8192,16.406,13.953,53.501
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_early_anchor_long_tail,128,3.125,8448,16.406,14.782,55.173
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_early_anchor_long_tail,128,1.0,8704,16.406,15.658,56.845
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_early_anchor_long_tail,128,0.0,8784,16.406,15.942,57.367
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_middle_anchor_detour,8,75.0,2296,16.406,2.328,14.463
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_middle_anchor_detour,8,50.0,4608,16.406,5.45,29.026
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_middle_anchor_detour,8,25.0,6920,16.406,9.821,43.589
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_middle_anchor_detour,8,12.5,8072,16.406,12.724,50.846
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_middle_anchor_detour,8,6.25,8648,16.406,14.431,54.474
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_middle_anchor_detour,8,3.125,8936,16.406,15.361,56.288
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_middle_anchor_detour,8,1.0,9136,16.406,16.041,57.548
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_middle_anchor_detour,8,0.0,9232,16.406,16.378,58.153
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_middle_anchor_detour,16,75.0,2288,16.406,2.318,14.412
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_middle_anchor_detour,16,50.0,4608,16.406,5.45,29.026
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_middle_anchor_detour,16,25.0,6912,16.406,9.803,43.539
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_middle_anchor_detour,16,12.5,8064,16.406,12.702,50.795
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_middle_anchor_detour,16,6.25,8640,16.406,14.405,54.424
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_middle_anchor_detour,16,3.125,8928,16.406,15.334,56.238
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_middle_anchor_detour,16,1.0,9136,16.406,16.041,57.548
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_middle_anchor_detour,16,0.0,9224,16.406,16.35,58.102
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_middle_anchor_detour,32,75.0,2272,16.406,2.3,14.311
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_middle_anchor_detour,32,50.0,4576,16.406,5.4,28.824
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_middle_anchor_detour,32,25.0,6880,16.406,9.731,43.337
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_middle_anchor_detour,32,12.5,8032,16.406,12.612,50.594
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_middle_anchor_detour,32,6.25,8608,16.406,14.306,54.222
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_middle_anchor_detour,32,3.125,8896,16.406,15.229,56.036
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_middle_anchor_detour,32,1.0,9120,16.406,15.986,57.447
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_middle_anchor_detour,32,0.0,9208,16.406,16.293,58.002
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_middle_anchor_detour,64,75.0,2240,16.406,2.263,14.11
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_middle_anchor_detour,64,50.0,4544,16.406,5.349,28.623
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_middle_anchor_detour,64,25.0,6848,16.406,9.659,43.136
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_middle_anchor_detour,64,12.5,8000,16.406,12.524,50.392
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_middle_anchor_detour,64,6.25,8576,16.406,14.206,54.021
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_middle_anchor_detour,64,3.125,8896,16.406,15.229,56.036
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_middle_anchor_detour,64,1.0,9088,16.406,15.875,57.246
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_middle_anchor_detour,64,0.0,9176,16.406,16.181,57.8
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_middle_anchor_detour,128,75.0,2176,16.406,2.19,13.707
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_middle_anchor_detour,128,50.0,4480,16.406,5.25,28.22
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_middle_anchor_detour,128,25.0,6784,16.406,9.516,42.733
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_middle_anchor_detour,128,12.5,7936,16.406,12.348,49.989
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_middle_anchor_detour,128,6.25,8576,16.406,14.206,54.021
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_middle_anchor_detour,128,3.125,8832,16.406,15.019,55.633
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_middle_anchor_detour,128,1.0,9088,16.406,15.875,57.246
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_middle_anchor_detour,128,0.0,9112,16.406,15.958,57.397
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_late_anchor_control,8,75.0,2320,16.406,2.33,14.477
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_late_anchor_control,8,50.0,4656,16.406,5.457,29.055
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_late_anchor_control,8,25.0,6984,16.406,9.818,43.582
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_late_anchor_control,8,12.5,8152,16.406,12.735,50.871
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_late_anchor_control,8,6.25,8736,16.406,14.451,54.515
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_late_anchor_control,8,3.125,9024,16.406,15.374,56.312
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_late_anchor_control,8,1.0,9224,16.406,16.048,57.56
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_late_anchor_control,8,0.0,9319,16.406,16.378,58.153
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_late_anchor_control,16,75.0,2304,16.406,2.312,14.378
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_late_anchor_control,16,50.0,4640,16.406,5.432,28.955
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_late_anchor_control,16,25.0,6976,16.406,9.8,43.532
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_late_anchor_control,16,12.5,8144,16.406,12.713,50.821
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_late_anchor_control,16,6.25,8720,16.406,14.401,54.415
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_late_anchor_control,16,3.125,9008,16.406,15.321,56.212
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_late_anchor_control,16,1.0,9216,16.406,16.02,57.51
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_late_anchor_control,16,0.0,9311,16.406,16.35,58.103
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_late_anchor_control,32,75.0,2304,16.406,2.312,14.378
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_late_anchor_control,32,50.0,4640,16.406,5.432,28.955
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_late_anchor_control,32,25.0,6976,16.406,9.8,43.532
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_late_anchor_control,32,12.5,8128,16.406,12.669,50.721
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_late_anchor_control,32,6.25,8704,16.406,14.352,54.315
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_late_anchor_control,32,3.125,8992,16.406,15.269,56.113
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_late_anchor_control,32,1.0,9216,16.406,16.02,57.51
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_late_anchor_control,32,0.0,9295,16.406,16.294,58.003
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_late_anchor_control,64,75.0,2240,16.406,2.239,13.978
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_late_anchor_control,64,50.0,4608,16.406,5.382,28.755
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_late_anchor_control,64,25.0,6912,16.406,9.658,43.133
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_late_anchor_control,64,12.5,8064,16.406,12.493,50.322
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_late_anchor_control,64,6.25,8640,16.406,14.155,53.916
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_late_anchor_control,64,3.125,8960,16.406,15.164,55.913
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_late_anchor_control,64,1.0,9152,16.406,15.802,57.111
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_late_anchor_control,64,0.0,9263,16.406,16.183,57.804
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_late_anchor_control,128,75.0,2176,16.406,2.167,13.579
0,JunHowie/Qwen3-32B-GPTQ-Int4,run00_endpoint_late_anchor_control,128,50.0,4480,16.406,5.186,27.956
