model_id,row_count,old_kv_row_count,pass_rate_pct,checked_layer_pages,min_warm_reduction_vs_uniform_int8_pct,mean_warm_reduction_vs_uniform_int8_pct,min_total_reduction_vs_same_hot_uniform_int8_pct,mean_total_reduction_vs_same_hot_uniform_int8_pct,min_compression_vs_raw_pct,mean_compression_vs_raw_pct
JunHowie/Qwen3-32B-GPTQ-Int4,49000,45670,100.0,539778048,16.406,16.406,0.064,10.448,0.0,39.765
Qwen/Qwen2.5-0.5B-Instruct,48400,45070,100.0,177156864,16.667,16.667,0.065,10.599,0.0,39.783
Qwen/Qwen2.5-1.5B-Instruct,48400,45070,100.0,206683008,16.071,16.071,0.063,10.22,0.0,39.58
Qwen/Qwen2.5-32B-Instruct-AWQ,48400,45070,100.0,472418304,16.406,16.406,0.064,10.433,0.0,39.694
Qwen/Qwen2.5-32B-Instruct-GPTQ-Int4,48400,45070,100.0,472418304,16.406,16.406,0.064,10.433,0.0,39.694
Qwen/Qwen2.5-3B-Instruct,48400,45070,100.0,265735296,16.667,16.667,0.065,10.599,0.0,39.783
Qwen/Qwen2.5-7B-Instruct,48400,45070,100.0,206683008,16.071,16.071,0.063,10.22,0.0,39.58
Qwen/Qwen3-14B,49000,45670,100.0,337361280,16.25,16.25,0.063,10.348,0.0,39.712
Qwen/Qwen3-30B-A3B-GPTQ-Int4,49000,45670,100.0,404833536,16.667,16.667,0.065,10.614,0.0,39.854
Qwen/Qwen3-32B,49000,45670,100.0,539778048,16.406,16.406,0.064,10.448,0.0,39.765
Qwen/Qwen3-4B,49000,45670,100.0,303625152,16.667,16.667,0.065,10.614,0.0,39.854
Qwen/Qwen3-4B-Instruct-2507,49600,46270,100.0,357089760,16.667,16.667,0.065,10.628,0.0,39.925
Qwen/Qwen3-8B,49000,45670,100.0,303625152,16.667,16.667,0.065,10.614,0.0,39.854
kaitchup/Qwen3-32B-autoround-2bit-gptq,49000,45670,100.0,539778048,16.406,16.406,0.064,10.448,0.0,39.765
kaitchup/Qwen3-32B-autoround-4bit-gptq,49000,45670,100.0,539778048,16.406,16.406,0.064,10.448,0.0,39.765
