run_index,model_id,row_count,old_kv_row_count,pass_rate_pct,checked_layer_pages,min_warm_reduction_vs_uniform_int8_pct,mean_warm_reduction_vs_uniform_int8_pct,min_total_reduction_vs_same_hot_uniform_int8_pct,mean_total_reduction_vs_same_hot_uniform_int8_pct,min_compression_vs_raw_pct,mean_compression_vs_raw_pct
0,JunHowie/Qwen3-32B-GPTQ-Int4,1240,1240,100.0,44099072,16.406,16.406,2.088,11.483,13.144,45.343
0,Qwen/Qwen2.5-0.5B-Instruct,1240,1240,100.0,16537152,16.667,16.667,2.121,11.666,13.173,45.445
0,Qwen/Qwen2.5-1.5B-Instruct,1240,1240,100.0,19293344,16.071,16.071,2.046,11.249,13.106,45.213
0,Qwen/Qwen2.5-32B-Instruct-AWQ,1240,1240,100.0,44099072,16.406,16.406,2.088,11.483,13.144,45.343
0,Qwen/Qwen2.5-32B-Instruct-GPTQ-Int4,1240,1240,100.0,44099072,16.406,16.406,2.088,11.483,13.144,45.343
0,Qwen/Qwen2.5-3B-Instruct,1240,1240,100.0,24805728,16.667,16.667,2.121,11.666,13.173,45.445
0,Qwen/Qwen2.5-7B-Instruct,1240,1240,100.0,19293344,16.071,16.071,2.046,11.249,13.106,45.213
0,Qwen/Qwen3-14B,1240,1240,100.0,27561920,16.25,16.25,2.068,11.374,13.126,45.282
0,Qwen/Qwen3-30B-A3B-GPTQ-Int4,1240,1240,100.0,33074304,16.667,16.667,2.121,11.666,13.173,45.445
0,Qwen/Qwen3-32B,1240,1240,100.0,44099072,16.406,16.406,2.088,11.483,13.144,45.343
0,Qwen/Qwen3-4B,1240,1240,100.0,24805728,16.667,16.667,2.121,11.666,13.173,45.445
0,Qwen/Qwen3-4B-Instruct-2507,1240,1240,100.0,24805728,16.667,16.667,2.121,11.666,13.173,45.445
0,Qwen/Qwen3-8B,1240,1240,100.0,24805728,16.667,16.667,2.121,11.666,13.173,45.445
0,kaitchup/Qwen3-32B-autoround-2bit-gptq,1240,1240,100.0,44099072,16.406,16.406,2.088,11.483,13.144,45.343
0,kaitchup/Qwen3-32B-autoround-4bit-gptq,1240,1240,100.0,44099072,16.406,16.406,2.088,11.483,13.144,45.343
1,JunHowie/Qwen3-32B-GPTQ-Int4,1240,1147,100.0,9436160,16.406,16.406,0.802,10.258,0.0,39.027
1,Qwen/Qwen2.5-0.5B-Instruct,1240,1147,100.0,3538560,16.667,16.667,0.815,10.421,0.0,39.114
1,Qwen/Qwen2.5-1.5B-Instruct,1240,1147,100.0,4128320,16.071,16.071,0.786,10.049,0.0,38.915
1,Qwen/Qwen2.5-32B-Instruct-AWQ,1240,1147,100.0,9436160,16.406,16.406,0.802,10.258,0.0,39.027
1,Qwen/Qwen2.5-32B-Instruct-GPTQ-Int4,1240,1147,100.0,9436160,16.406,16.406,0.802,10.258,0.0,39.027
