run_index,row_count,old_kv_row_count,pass_rate_pct,checked_layer_pages,min_warm_reduction_vs_uniform_int8_pct,mean_warm_reduction_vs_uniform_int8_pct,min_total_reduction_vs_same_hot_uniform_int8_pct,mean_total_reduction_vs_same_hot_uniform_int8_pct,min_compression_vs_raw_pct,mean_compression_vs_raw_pct
0,18600,18600,100.0,479577408,16.071,16.455,2.046,11.518,13.106,45.362
1,18600,17205,100.0,102618240,16.071,16.455,0.786,10.289,0.0,39.043
2,18600,16830,100.0,112490304,16.071,16.455,0.785,10.188,0.0,37.899
3,18360,16395,100.0,107106304,16.071,16.456,0.487,10.164,0.0,37.376
4,17800,16015,100.0,88309856,16.071,16.457,0.125,10.232,0.0,37.776
5,18360,17610,100.0,98401504,16.071,16.456,0.765,10.147,0.0,40.123
6,18600,17085,100.0,105836544,16.071,16.455,0.766,10.285,0.0,38.812
7,18040,16930,100.0,79380768,16.071,16.456,0.806,10.266,0.0,39.549
8,18360,16485,100.0,106395712,16.071,16.456,0.766,10.271,0.0,37.842
9,18360,16830,100.0,110182944,16.071,16.456,0.487,10.216,0.0,38.467
10,18040,18040,100.0,233260512,16.071,16.456,1.709,11.36,11.154,44.979
11,18040,16660,100.0,83679360,16.071,16.456,0.308,10.217,0.0,38.739
12,18040,15880,100.0,84768096,16.071,16.456,0.786,10.249,0.0,37.041
13,18360,18255,100.0,132149440,16.071,16.456,0.777,10.77,0.0,43.216
14,18600,17445,100.0,124038336,16.071,16.455,0.788,10.274,0.0,39.55
15,18120,16140,100.0,124105056,16.071,16.458,0.814,10.185,0.0,37.301
16,18600,17235,100.0,119389056,16.071,16.455,0.765,10.271,0.0,39.026
17,18040,18040,100.0,390118848,16.071,16.456,2.044,11.505,13.095,45.331
18,18360,16995,100.0,117812320,16.071,16.456,0.125,10.16,0.0,38.747
19,18120,16965,100.0,108521184,16.071,16.457,0.487,10.233,0.0,39.366
20,18040,18040,100.0,243254592,16.071,16.456,1.697,11.392,11.084,45.05
21,18600,16710,100.0,102935616,16.071,16.455,0.78,10.196,0.0,37.695
22,18360,16545,100.0,107395808,16.071,16.456,0.186,10.262,0.0,37.913
23,18600,17340,100.0,118052736,16.071,16.455,0.063,10.229,0.0,39.18
24,18040,16150,100.0,108533760,16.071,16.456,0.308,10.328,0.0,37.858
25,18040,16525,100.0,97485024,16.071,16.456,0.308,10.141,0.0,38.223
26,18040,17920,100.0,113383584,16.071,16.456,0.849,10.773,0.0,43.217
27,18360,16665,100.0,113479136,16.071,16.456,0.768,10.239,0.0,38.179
28,18600,16575,100.0,120636288,16.071,16.455,0.247,10.365,0.0,37.813
29,18040,16465,100.0,83208096,16.071,16.456,0.125,10.239,0.0,38.407
30,18040,18040,100.0,252557856,16.071,16.456,1.735,11.372,11.307,45.005
31,18600,17655,100.0,112094976,16.071,16.455,0.785,10.269,0.0,39.998
32,18600,17475,100.0,112685184,16.071,16.455,0.779,10.209,0.0,39.483
33,18600,16560,100.0,120992640,16.071,16.455,0.368,10.308,0.0,37.551
34,18360,18360,100.0,433383360,16.071,16.456,2.045,11.504,13.102,45.331
35,18360,15885,100.0,112906720,16.071,16.456,0.765,10.363,0.0,36.702
36,18600,17130,100.0,115235328,16.071,16.455,0.794,10.214,0.0,38.67
37,18040,16705,100.0,86787264,16.071,16.456,0.428,10.265,0.0,38.999
38,18040,15760,100.0,91371744,16.071,16.456,0.487,10.216,0.0,36.692
39,18040,17905,100.0,112220352,16.071,16.456,0.769,10.737,0.0,43.096
